Date,Month,DayofMonth
2008-05-12,5,12
2008-05-13,5,13
2008-05-14,5,14
2008-05-15,5,15
2008-05-16,5,16
2008-05-17,5,17
2008-05-18,5,18
2008-05-19,5,19
2008-05-20,5,20
2008-05-21,5,21
2008-05-22,5,22
2008-05-23,5,23
2008-05-24,5,24
2008-05-25,5,25
2008-05-26,5,26
2008-05-27,5,27
2008-05-28,5,28
2008-05-29,5,29
2008-05-30,5,30
2008-05-31,5,31
2008-05-01,5,1
2008-05-02,5,2
2008-06-02,6,2
2008-06-03,6,3
2008-06-04,6,4
2008-06-05,6,5
2008-06-06,6,6
2008-06-07,6,7
2008-06-08,6,8
2008-06-09,6,9
2008-06-10,6,10
2008-06-11,6,11
2008-06-12,6,12
2008-06-13,6,13
2008-06-14,6,14
2008-06-15,6,15
2008-06-16,6,16
2008-06-17,6,17
2008-06-18,6,18
2008-06-19,6,19
2008-06-20,6,20
2008-06-21,6,21
2008-06-22,6,22
2008-06-23,6,23
2008-06-24,6,24
2008-06-25,6,25
2008-06-26,6,26
2008-06-27,6,27
2008-06-28,6,28
2008-06-29,6,29
2008-06-30,6,30
2008-06-01,6,1
2008-07-02,7,2
2008-07-03,7,3
2008-07-04,7,4
2008-07-05,7,5
2008-07-06,7,6
2008-07-07,7,7
2008-07-08,7,8
2008-07-09,7,9
2008-07-10,7,10
2008-07-11,7,11
2008-07-12,7,12
2008-07-13,7,13
2008-07-14,7,14
2008-07-15,7,15
2008-07-16,7,16
2008-07-17,7,17
2008-07-18,7,18
2008-07-19,7,19
2008-07-20,7,20
2008-07-21,7,21
2008-07-22,7,22
2008-07-23,7,23
2008-07-24,7,24
2008-07-25,7,25
2008-07-26,7,26
2008-07-27,7,27
2008-07-28,7,28
2008-07-29,7,29
2008-07-30,7,30
2008-07-31,7,31
2008-07-01,7,1
2008-08-02,8,2
2008-08-03,8,3
2008-08-04,8,4
2008-08-05,8,5
2008-08-06,8,6
2008-08-07,8,7
2008-08-08,8,8
2008-08-09,8,9
2008-08-10,8,10
2008-08-11,8,11
2008-08-12,8,12
2008-08-13,8,13
2008-08-14,8,14
2008-08-15,8,15
2008-08-16,8,16
2008-08-17,8,17
2008-08-18,8,18
2008-08-19,8,19
2008-08-20,8,20
2008-08-21,8,21
2008-08-22,8,22
2008-08-23,8,23
2008-08-24,8,24
2008-08-25,8,25
2008-08-26,8,26
2008-08-27,8,27
2008-08-28,8,28
2008-08-29,8,29
2008-08-30,8,30
2008-08-31,8,31
2008-08-01,8,1
2008-09-02,9,2
2008-09-03,9,3
2008-09-04,9,4
2008-09-05,9,5
2008-09-06,9,6
2008-09-07,9,7
2008-09-08,9,8
2008-09-09,9,9
2008-09-10,9,10
2008-09-11,9,11
2008-09-12,9,12
2008-09-13,9,13
2008-09-14,9,14
2008-09-15,9,15
2008-09-16,9,16
2008-09-17,9,17
2008-09-18,9,18
2008-09-19,9,19
2008-09-20,9,20
2008-09-21,9,21
2008-09-22,9,22
2008-09-23,9,23
2008-09-24,9,24
2008-09-25,9,25
2008-09-26,9,26
2008-09-27,9,27
2008-09-28,9,28
2008-09-29,9,29
2008-09-30,9,30
2008-09-01,9,1
2008-10-03,10,3
2008-10-04,10,4
2008-10-05,10,5
2008-10-06,10,6
2008-10-07,10,7
2008-10-08,10,8
2008-10-09,10,9
2008-10-10,10,10
2008-10-11,10,11
2008-10-12,10,12
2008-10-13,10,13
2008-10-14,10,14
2008-10-15,10,15
2008-10-16,10,16
2008-10-17,10,17
2008-10-18,10,18
2008-10-19,10,19
2008-10-20,10,20
2008-10-21,10,21
2008-10-22,10,22
2008-10-23,10,23
2008-10-24,10,24
2008-10-25,10,25
2008-10-26,10,26
2008-10-27,10,27
2008-10-28,10,28
2008-10-29,10,29
2008-10-30,10,30
2008-10-31,10,31
2008-10-02,10,2
2008-10-01,10,1
2008-11-03,11,3
2008-11-04,11,4
2008-11-05,11,5
2008-11-06,11,6
2008-11-07,11,7
2008-11-08,11,8
2008-11-09,11,9
2008-11-10,11,10
2008-11-11,11,11
2008-11-12,11,12
2008-11-13,11,13
2008-11-14,11,14
2008-11-15,11,15
2008-11-16,11,16
2008-11-17,11,17
2008-11-18,11,18
2008-11-19,11,19
2008-11-20,11,20
2008-11-21,11,21
2008-11-22,11,22
2008-11-23,11,23
2008-11-24,11,24
2008-11-25,11,25
2008-11-26,11,26
2008-11-27,11,27
2008-11-28,11,28
2008-11-29,11,29
2008-11-30,11,30
2008-11-02,11,2
2008-11-01,11,1
2008-12-03,12,3
2008-12-04,12,4
2008-12-05,12,5
2008-12-06,12,6
2008-12-07,12,7
2008-12-08,12,8
2008-12-09,12,9
2008-12-10,12,10
2008-12-11,12,11
2008-12-12,12,12
2008-12-13,12,13
2008-12-14,12,14
2008-12-15,12,15
2008-12-16,12,16
2008-12-17,12,17
2008-12-18,12,18
2008-12-19,12,19
2008-12-20,12,20
2008-12-21,12,21
2008-12-22,12,22
2008-12-23,12,23
2008-12-24,12,24
2008-12-25,12,25
2008-12-26,12,26
2008-12-27,12,27
2008-12-28,12,28
2008-12-29,12,29
2008-12-30,12,30
2008-12-31,12,31
2008-12-02,12,2
2008-12-01,12,1
